Timestamp,Voltage (V),Current (A),Temperature,Mode
2023-11-15 20:48:06,3.07,0.7,23.58,Discharging
2023-11-15 20:47:55,3.07,0.71,23.29,Discharging
2023-11-15 20:47:44,3.07,0.7,23.48,Discharging
2023-11-15 20:47:33,3.07,0.72,23.42,Discharging
2023-11-15 20:47:22,3.08,0.71,23.36,Discharging
2023-11-15 20:47:11,3.08,0.71,23.12,Discharging
2023-11-15 20:46:59,3.08,0.72,23.37,Discharging
2023-11-15 20:46:48,3.08,0.72,23.35,Discharging
2023-11-15 20:46:37,3.08,0.72,23.3,Discharging
2023-11-15 20:46:26,3.08,0.72,23.54,Discharging
2023-11-15 20:46:15,3.08,0.71,23.48,Discharging
2023-11-15 20:46:04,3.09,0.7,23.49,Discharging
2023-11-15 20:45:53,3.09,0.7,23.29,Discharging
2023-11-15 20:45:42,3.09,0.72,23.46,Discharging
2023-11-15 20:45:30,3.09,0.72,23.48,Discharging
2023-11-15 20:45:19,3.09,0.72,23.41,Discharging
2023-11-15 20:45:08,3.09,0.71,23.24,Discharging
2023-11-15 20:44:57,3.09,0.72,23.54,Discharging
2023-11-15 20:44:46,3.09,0.72,23.24,Discharging
2023-11-15 20:44:35,3.09,0.72,23.19,Discharging
2023-11-15 20:44:24,3.09,0.71,23.42,Discharging
2023-11-15 20:44:13,3.1,0.72,23.22,Discharging
2023-11-15 20:44:02,3.1,0.73,23.46,Discharging
2023-11-15 20:43:50,3.1,0.71,23.4,Discharging
2023-11-15 20:43:39,3.1,0.72,23.22,Discharging
2023-11-15 20:43:28,3.1,0.73,23.56,Discharging
2023-11-15 20:43:17,3.1,0.72,23.41,Discharging
2023-11-15 20:43:06,3.1,0.7,23.37,Discharging
2023-11-15 20:42:55,3.1,0.73,23.21,Discharging
2023-11-15 20:42:44,3.1,0.74,23.28,Discharging
2023-11-15 20:42:33,3.1,0.73,23.3,Discharging
2023-11-15 20:42:21,3.1,0.74,23.1,Discharging
2023-11-15 20:42:10,3.1,0.73,23.24,Discharging
2023-11-15 20:41:59,3.1,0.71,23.29,Discharging
2023-11-15 20:41:48,3.11,0.69,23.4,Discharging
2023-11-15 20:41:37,3.11,0.7,23.53,Discharging
2023-11-15 20:41:26,3.11,0.71,23.32,Discharging
2023-11-15 20:41:15,3.11,0.71,23.26,Discharging
2023-11-15 20:41:04,3.11,0.72,23.13,Discharging
2023-11-15 20:40:53,3.11,0.71,22.9,Discharging
2023-11-15 20:40:41,3.1,0.73,23.38,Discharging
2023-11-15 20:40:30,3.11,0.71,23.47,Discharging
2023-11-15 20:40:19,3.1,0.73,23.19,Discharging
2023-11-15 20:40:08,3.1,0.74,23.37,Discharging
2023-11-15 20:39:57,3.11,0.7,23.08,Discharging
2023-11-15 20:39:46,3.11,0.69,22.9,Discharging
2023-11-15 20:39:35,3.11,0.73,23.44,Discharging
2023-11-15 20:39:24,3.11,0.72,23.52,Discharging
2023-11-15 20:39:12,3.11,0.69,23.24,Discharging
2023-11-15 20:39:01,3.11,0.71,23.45,Discharging
2023-11-15 20:38:50,3.11,0.7,23.47,Discharging
2023-11-15 20:38:39,3.11,0.71,23.1,Discharging
2023-11-15 20:38:28,3.12,0.7,23.46,Discharging
2023-11-15 20:38:17,3.12,0.68,23.29,Discharging
2023-11-15 20:38:06,3.11,0.7,23.53,Discharging
2023-11-15 20:37:55,3.12,0.69,23.24,Discharging
2023-11-15 20:37:44,3.12,0.7,23.5,Discharging
2023-11-15 20:37:32,3.12,0.69,23.57,Discharging
2023-11-15 20:37:21,3.12,0.7,23.3,Discharging
2023-11-15 20:37:10,3.12,0.7,23.52,Discharging
2023-11-15 20:36:59,3.12,0.68,23.24,Discharging
2023-11-15 20:36:48,3.12,0.72,23.28,Discharging
2023-11-15 20:36:37,3.12,0.71,23.3,Discharging
2023-11-15 20:36:26,3.12,0.71,23.27,Discharging
2023-11-15 20:36:15,3.12,0.71,23.43,Discharging
2023-11-15 20:36:03,3.12,0.72,23.18,Discharging
2023-11-15 20:35:52,3.12,0.71,23.29,Discharging
2023-11-15 20:35:41,3.12,0.69,23.3,Discharging
2023-11-15 20:35:30,3.12,0.71,23.08,Discharging
2023-11-15 20:35:19,3.12,0.67,23.22,Discharging
2023-11-15 20:35:08,3.12,0.67,23.37,Discharging
2023-11-15 20:34:57,3.12,0.65,23.62,Discharging
2023-11-15 20:34:46,3.12,0.65,23.3,Discharging
2023-11-15 20:34:35,3.13,0.64,23.5,Discharging
2023-11-15 20:34:23,3.13,0.64,23.76,Discharging
2023-11-15 20:34:12,3.12,0.65,23.43,Discharging
2023-11-15 20:34:01,3.13,0.63,23.07,Discharging
2023-11-15 20:33:50,3.13,0.64,23.33,Discharging
2023-11-15 20:33:39,3.13,0.67,23.8,Discharging
2023-11-15 20:33:28,3.13,0.61,23.5,Discharging
2023-11-15 20:33:17,3.13,0.61,23.86,Discharging
2023-11-15 20:33:06,3.13,0.66,23.47,Discharging
2023-11-15 20:32:54,3.13,0.63,23.37,Discharging
2023-11-15 20:32:43,3.13,0.63,23.54,Discharging
2023-11-15 20:32:32,3.13,0.64,23.78,Discharging
2023-11-15 20:32:21,3.13,0.64,23.35,Discharging
2023-11-15 20:32:10,3.13,0.63,23.42,Discharging
2023-11-15 20:31:59,3.13,0.61,23.62,Discharging
2023-11-15 20:31:48,3.13,0.62,23.48,Discharging
2023-11-15 20:31:37,3.13,0.62,23.63,Discharging
2023-11-15 20:31:26,3.13,0.61,23.56,Discharging
2023-11-15 20:31:14,3.13,0.61,23.5,Discharging
2023-11-15 20:31:03,3.13,0.57,23.44,Discharging
2023-11-15 20:30:52,3.13,0.62,23.53,Discharging
2023-11-15 20:30:41,3.13,0.6,23.66,Discharging
2023-11-15 20:30:30,3.13,0.58,23.74,Discharging
2023-11-15 20:30:19,3.13,0.55,23.57,Discharging
2023-11-15 20:30:08,3.13,0.63,23.95,Discharging
2023-11-15 20:29:57,3.13,0.61,23.64,Discharging
2023-11-15 20:29:45,3.13,0.62,23.56,Discharging
2023-11-15 20:29:34,3.13,0.61,23.48,Discharging
2023-11-15 20:29:23,3.13,0.62,23.48,Discharging
2023-11-15 20:29:12,3.13,0.61,23.48,Discharging
2023-11-15 20:29:01,3.13,0.63,23.53,Discharging
2023-11-15 20:28:50,3.13,0.6,23.54,Discharging
2023-11-15 20:28:39,3.14,0.5,23.73,Discharging
2023-11-15 20:28:28,3.14,0.53,24.29,Discharging
2023-11-15 20:28:17,3.13,0.63,23.7,Discharging
2023-11-15 20:28:05,3.13,0.62,23.5,Discharging
2023-11-15 20:27:54,3.13,0.68,23.28,Discharging
2023-11-15 20:27:43,3.13,0.63,23.6,Discharging
2023-11-15 20:27:32,3.13,0.6,23.5,Discharging
2023-11-15 20:27:21,3.13,0.6,23.7,Discharging
2023-11-15 20:27:10,3.14,0.58,23.48,Discharging
2023-11-15 20:26:59,3.13,0.62,23.55,Discharging
2023-11-15 20:26:48,3.13,0.61,23.56,Discharging
2023-11-15 20:26:36,3.13,0.61,24.15,Discharging
2023-11-15 20:26:25,3.14,0.6,23.31,Discharging
2023-11-15 20:26:14,3.13,0.6,23.46,Discharging
2023-11-15 20:26:03,3.14,0.58,23.53,Discharging
2023-11-15 20:25:52,3.14,0.61,23.7,Discharging
2023-11-15 20:25:41,3.14,0.61,23.51,Discharging
2023-11-15 20:25:30,3.13,0.61,24.13,Discharging
2023-11-15 20:25:19,3.14,0.6,23.61,Discharging
2023-11-15 20:25:08,3.14,0.61,23.53,Discharging
2023-11-15 20:24:56,3.13,0.62,23.55,Discharging
2023-11-15 20:24:45,3.13,0.64,23.44,Discharging
2023-11-15 20:24:34,3.14,0.61,23.94,Discharging
2023-11-15 20:24:23,3.13,0.67,23.69,Discharging
2023-11-15 20:24:12,3.14,0.61,23.64,Discharging
2023-11-15 20:24:01,3.14,0.6,23.67,Discharging
2023-11-15 20:23:50,3.14,0.61,23.48,Discharging
2023-11-15 20:23:39,3.14,0.61,23.37,Discharging
2023-11-15 20:23:27,3.14,0.62,23.59,Discharging
2023-11-15 20:23:16,3.14,0.61,23.55,Discharging
2023-11-15 20:23:05,3.14,0.58,23.37,Discharging
2023-11-15 20:22:54,3.14,0.57,23.2,Discharging
2023-11-15 20:22:43,3.14,0.63,23.35,Discharging
2023-11-15 20:22:32,3.14,0.61,23.21,Discharging
2023-11-15 20:22:21,3.14,0.63,23.45,Discharging
2023-11-15 20:22:10,3.14,0.65,24.02,Discharging
2023-11-15 20:21:59,3.14,0.6,23.6,Discharging
2023-11-15 20:21:47,3.13,0.65,23.62,Discharging
2023-11-15 20:21:36,3.14,0.62,23.73,Discharging
2023-11-15 20:21:25,3.14,0.62,23.58,Discharging
2023-11-15 20:21:14,3.14,0.62,23.6,Discharging
2023-11-15 20:21:03,3.14,0.62,23.45,Discharging
2023-11-15 20:20:52,3.13,0.62,23.57,Discharging
2023-11-15 20:20:41,3.14,0.63,23.79,Discharging
2023-11-15 20:20:30,3.14,0.63,23.56,Discharging
2023-11-15 20:20:18,3.14,0.54,23.58,Discharging
2023-11-15 20:20:07,3.14,0.62,23.59,Discharging
2023-11-15 20:19:56,3.13,0.64,23.59,Discharging
2023-11-15 20:19:45,3.14,0.61,23.73,Discharging
2023-11-15 20:19:34,3.14,0.63,23.23,Discharging
2023-11-15 20:19:23,3.14,0.62,23.82,Discharging
2023-11-15 20:19:12,3.14,0.59,23.84,Discharging
2023-11-15 20:19:01,3.13,0.66,23.62,Discharging
2023-11-15 20:18:50,3.13,0.63,23.46,Discharging
2023-11-15 20:18:38,3.14,0.59,23.35,Discharging
2023-11-15 20:18:27,3.14,0.61,23.55,Discharging
2023-11-15 20:18:16,3.14,0.69,23.44,Discharging
2023-11-15 20:18:05,3.14,0.63,23.22,Discharging
2023-11-15 20:17:54,3.14,0.66,23.41,Discharging
2023-11-15 20:17:43,3.14,0.6,23.59,Discharging
2023-11-15 20:17:32,3.14,0.61,23.6,Discharging
2023-11-15 20:17:21,3.14,0.6,23.32,Discharging
2023-11-15 20:17:09,3.14,0.62,23.62,Discharging
2023-11-15 20:16:58,3.14,0.61,23.5,Discharging
2023-11-15 20:16:47,3.14,0.62,23.74,Discharging
2023-11-15 20:16:36,3.14,0.63,23.9,Discharging
2023-11-15 20:16:25,3.14,0.6,24.3,Discharging
2023-11-15 20:16:14,3.14,0.67,23.85,Discharging
2023-11-15 20:16:03,3.14,0.57,23.76,Discharging
2023-11-15 20:15:52,3.14,0.6,24.05,Discharging
